pEC50,standardized,EC50,Target1
10.69897,Fc1c(C2CN(C(=O)C3=C(O)N(c4c(OC)cccc4OC)C(c4nn(C)cc4)=NC3=O)CC2)cccc1,0.02000000019968108,1
8.3010302,S(=O)(=O)(c1ccc(-c2c(COC)cccc2)cc1)C=1C(=O)N(c2c(OC)cccc2OC)C(CCCC)=NC=1O,4.999997647495204,1
6.3665314,S(=O)(=O)(Nc1n(CCOC)c(-c2ncccc2)nn1)C(C(C)c1ncc(OC)cn1)C,430.0001429923486,0
6.9208188,Brc1c(-n2c(NS(=O)(=O)C(C(OC(C)C)c3ncc(C)cn3)C)nnc2CCC=C)c(OC)ccc1,119.99998727657169,0
9.9586077,Clc1cnc(C(C(S(=O)(=O)Nc2n(-c3c(OC)cccc3OC)c(-c3nn(C(F)F)cc3)nn2)C)C)nc1,0.10999990244548866,1
8.7212467,S(=O)(=O)(Nc1n(-c2c(OC)cccc2OC)c(-c2nn(C(F)F)cc2)nn1)C(Cc1ncc(F)cn1)C,1.8999986833584108,1
8.5686359,Clc1cnc(C(OC)C(S(=O)(=O)Nc2n(c(C3OC(C)CC3)nn2)C2(C)CC2)C)nc1,2.700002087917581,1
8.3010302,S(=O)(=O)(c1cc(F)c(-c2cnc(F)cc2)cc1)C1=C(O)N(C(COC)c2ccccc2)C(COCC)=NC1=O,4.999997647495204,1
6.8181562,FC(F)(F)c1c(-c2n(C3CCCC3)nc(C(=O)NC(C(=O)NC3CCCCC3)CC(=O)NC3CCC3)c2)cccc1,152.00007421784946,0
8.2596369,O=C(N(Cc1ccccc1)C)Cc1oc(C2=C(O)C(c3c(OC)cccc3OC)=C(CCCC)NC2=O)nn1,5.500005198736845,1
8.3010302,S(=O)(=O)(c1ncc(-c2c(C(O)=N)cc(F)cc2)cc1)C1=C(O)N(C(CC)c2cc(C#N)ccc2)C(CCCC)=NC1=O,4.999997647495204,1
7.3979402,S(=O)(=O)(Nc1n(-c2c(OC)ncnc2OC)c(-c2ccccc2)nn1)C(Cc1ncc(F)cn1)C,39.99998237804733,0
8.3010302,S(=O)(=O)(c1ccc(-c2c(C(O)=NC)cccc2)cc1)C1=C(O)N(C(CC)c2ccccc2)C(COC(C)C)=NC1=O,4.999997647495204,1
8.3010302,S(=O)(=O)(c1ccc(-c2c(C)nc(F)cc2)cc1)C1=C(O)N(C(CC)c2ccc(F)cc2)C(CCCC)=NC1=O,4.999997647495204,1
10.142668,S(=O)(=O)(Nc1n(-c2c(OC)cccc2OC)c(-c2oc(C)cc2)nn1)C(C(OC)c1c(C#N)cc(C#N)cc1)C,0.0719999176986298,1
9.0506096,Clc1cnc(C(OC)C(S(=O)(=O)Nc2n(c(-c3nc(OC)ccc3)nn2)C2CC2)C)nc1,0.8900008061032344,1
7.0555172,Clc1cnc(C(OC)C(S(=O)(=O)Nc2n(c(-c3nc(OC)ccc3)nn2)C2C(F)(F)C2)C)nc1,88.00002590589406,0
7.3979402,Clc1ccc(CCS(=O)(=O)Nc2n(-c3c(OC)ncnc3OC)c(-c3ccccc3)nn2)cc1,39.99998237804733,0
8.5528421,Clc1cnc(C(OC)C(S(=O)(=O)Nc2n(CCOC)c(-c3nc(OC)ccc3)nn2)C)nc1,2.7999991532055506,1
7.6020598,Clc1cnc(C(OC)C(S(=O)(=O)Nc2n(-c3c(OC)cccc3OC)c(C3OC(C)(C)CC3)nn2)C)nc1,25.000011013725267,0
9.3979397,S(=O)(=O)(Nc1n(-c2c(OC)cccc2OC)c(-c2nn(C)cc2)nn1)C(C(C)c1ncc(OC)cn1)C,0.40000028429755374,1
8.2596369,Clc1cnc(Cc2oc(C3=C(O)C(c4c(OC)cccc4OC)=C(COCCOC)NC3=O)nn2)cc1,5.500005198736845,1
9.3872166,S(=O)(=O)(Nc1n(-c2c(OC)cccc2OC)c(-c2nn(C(F)F)cc2)nn1)C(C(C)c1ncc(C#N)cn1)C,0.409999568829444,1
6.4685211,Clc1cnc(C(OC)C(S(=O)(=O)Nc2n(c(C3COCC3)nn2)C2(COC)CC2)C)nc1,339.9999866579776,0
6.2006593,S(=O)(=O)(Nc1n(-c2c(OC)ncnc2OC)c(COC)nn1)C(C(C)c1ncc(C)nc1)C,630.0002183869793,0
8.3010302,S(=O)(=O)(c1ccc(-c2c(C)cncc2)cc1)C1=C(O)N(C(C)c2ccc(OC)cc2)C(CCCC)=NC1=O,4.999997647495204,1
8.3010302,S(=O)(=O)(c1ccc(-c2c(C)c(F)ncc2)cc1)C1=C(O)N(C(CC)c2cc(F)ccc2)C(CCCC)=NC1=O,4.999997647495204,1
7.167491,S(=O)(=O)(Nc1n(-c2c(OC)ncnc2OC)c(C2COCC2)nn1)C(C(OC(C)C)c1ncc(F)cn1)C,68.00001366809106,0
6.5850267,S(=O)(=O)(Nc1n(-c2c(OC)cccc2OC)c(-c2nc(OCC(O)(C)C)ccc2)nn1)C(C(C)c1ncc(F)nc1)C,259.99997128121,0
7.5528421,S(=O)(=O)(Nc1n(c(-c2nc(OC)ccc2)nn1)C1CC1)C(C(C)c1ncc(OC)cn1)C,27.99999153205545,0
7.8860564,S(=O)(=O)(Nc1n(-c2c(OC)cccc2OC)c(-c2nc(CC)sc2)nn1)CCc1ncc(F)cn1,13.000007414351717,0
8.3010302,S(=O)(=O)(c1ccc(-c2c(C#N)ccnc2)cc1)C=1C(=O)N(C(CC)c2cc(C#N)ccc2)C(CC2CC2)=NC=1O,4.999997647495204,1
9.2596369,S(=O)(=O)(Nc1n(-c2c(OC)cccc2OC)c(-c2cc(C)cnc2)nn1)C(C(OC)c1ncc(OC)cn1)C,0.5500005198736845,1
8.0268717,Clc1cnc(C(OC)C(S(=O)(=O)Nc2n(-c3c(OC)cccc3OC)c(C3CC(OC)C3)nn2)C)nc1,9.400009662026969,1
9.2924299,Clc1cnc(C(C(S(=O)(=O)Nc2n(-c3c(OC)ncnc3OC)c(-c3oc(C)cc3)nn2)C)C)nc1,0.509999910636801,1
8.3010302,S(=O)(=O)(c1ccc(-c2c(C)nccc2)cc1)C1=C(O)N(C(C(C)C)c2cc(C#N)ccc2)C(CCCC)=NC1=O,4.999997647495204,1
8.2596369,O(C)c1c(c(OC)ccc1)C=1C(O)=C(c2oc(Cc3onc(C4CC4)n3)nn2)C(=O)NC=1CCCC,5.500005198736845,1
8.3010302,S(=O)(=O)(c1ccc(-c2c(C)nccc2)cc1)C=1C(=O)N(C(CC)c2cc(C#N)ccc2)C(CCCC)=NC=1O,4.999997647495204,1
8.3010302,S(=O)(=O)(c1ccc(-c2c(C)c(F)ncc2)cc1)C1=C(O)N(C(COC)c2ccccc2)C(COCC)=NC1=O,4.999997647495204,1
